date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:16:25	148/148	---M-Z	200	added ('OK')	text/plain	date:Mon,%2015%20Mar%202021%2005:41:32%20GMT	https://oliverrice.net/robots.txt		(from )
09:16:29	129366/-1	---M--	200	added ('OK')	text/html	date:Mon,%2022%20Mar%202021%2022:16:23%20GMT	https://oliverrice.net/	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/oliverrice.net/index.html	(from )
09:16:31	3134/3134	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f0e93db-c3e%22	https://assets.tumblr.com/assets/scripts/pre_tumblelog.js?_v=b9f848c06fcba7eaf305d4a7cb7a1b98	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/assets.tumblr.com/assets/scripts/pre_tumblelogd70f.js	(from https://oliverrice.net/)
09:16:31	9726/9726	---MCZ	200	added ('OK')	text/css	etag:W/%225ff39de9-25fe%22	https://assets.tumblr.com/client/prod/standalone/blog-network-npf/index.build.css?_v=a6c4ad40cdc663ad83f8a1bbc8aeedc6	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/assets.tumblr.com/client/prod/standalone/blog-network-npf/index.builded8f.css	(from https://oliverrice.net/)
09:16:32	8882/8882	---MCZ	200	added ('OK')	text/xml	date:Mon,%2022%20Mar%202021%2022:16:30%20GMT	https://oliverrice.net/rss	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/oliverrice.net/rss	(from https://oliverrice.net/)
09:16:34	37626/37626	---M--	200	added ('OK')	text/css	etag:%222ecf2c4d8b3dfda387afcde70ed42d64%22	https://static.tumblr.com/jzzkxgh/KW9opoygt/font-awesome.css	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/static.tumblr.com/jzzkxgh/KW9opoygt/font-awesome.css	(from https://oliverrice.net/)
09:16:35	0/0	---M--	451	error ('Unknown%20error')	text/html	date:Mon,%2022%20Mar%202021%2022:16:33%20GMT	https://cdn.iconmonstr.com/1.1.0/css/iconmonstr-iconic-font.min.css	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/cdn.iconmonstr.com/1.1.0/css/iconmonstr-iconic-font.min.4.delayed	(from https://oliverrice.net/)
09:16:36	42/42	---M--	200	added ('OK')	image/gif	etag:%225eb39715-2a%22	https://assets.tumblr.com/images/x.gif?v=1	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/assets.tumblr.com/images/x3860.gif	(from https://oliverrice.net/)
09:16:36	65301/65301	---M--	200	added ('OK')	text/css	etag:%22682357b3f973e73e0630e8f7aebc43c7%22	https://static.tumblr.com/jzzkxgh/YTwqitt88/core.css	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/static.tumblr.com/jzzkxgh/YTwqitt88/core.css	(from https://oliverrice.net/)
09:16:38	510401/510401	---M--	200	added ('OK')	image/gif	etag:%22d9de2c41284caef353a76af5f5829481%22	https://static.tumblr.com/jzzkxgh/Nn0qi7lym/glitter-og.gif	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/static.tumblr.com/jzzkxgh/Nn0qi7lym/glitter-og.gif	(from https://oliverrice.net/)
09:16:40	9768/9768	---M--	200	added ('OK')	image/gif	etag:%2228095f9dc883383b43ca0fd1e393a537%22	https://static.tumblr.com/jzzkxgh/Ud7ppcbpu/remove-stash-credit.gif	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/static.tumblr.com/jzzkxgh/Ud7ppcbpu/remove-stash-credit.gif	(from https://oliverrice.net/)
09:16:42	58359/58359	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Mar%202021%2022:16:39%20GMT	https://oliverrice.net/android-app://com.tumblr/tumblr/x-callback-url/blog?blogName=oliverrice%26postID=622935842558787584	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/oliverrice.net/android-app_/com.tumblr/tumblr/x-callback-url/blog94e1	(from https://oliverrice.net/)
09:16:42	58331/58331	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Mar%202021%2022:16:41%20GMT	https://oliverrice.net/ios-app://305343404/tumblr/x-callback-url/blog?blogName=oliverrice&postID=622935842558787584	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/oliverrice.net/ios-app_/305343404/tumblr/x-callback-url/blog7b1d	(from https://oliverrice.net/)
09:16:43	355/355	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f0e8dcc-163%22	https://assets.tumblr.com/assets/scripts/tumblelog_post_message_queue.js?_v=a8fadfa499d8cb7c3f8eefdf0b1adfdd	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/assets.tumblr.com/assets/scripts/tumblelog_post_message_queue38df.js	(from https://oliverrice.net/)
09:16:44	2430/2430	---MCZ	200	added ('OK')	text/css	etag:W/%225f1677cc-97e%22	https://assets.tumblr.com/fonts/gibson/stylesheet.css?v=3	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/assets.tumblr.com/fonts/gibson/stylesheet30f4.css	(from https://oliverrice.net/)
09:16:45	16629/16629	---M--	200	added ('OK')	image/jpeg	etag:%224b70bd353c9f51679f3525c3c802d37e-1498089600-b93400b%22	https://66.media.tumblr.com/116d1b720dc3d6c3cbde3dec3e6d9343/32a43f64ec2399f5-06/s2048x3072/fb77e51516147430acfe798aad00d35394a0b4a1.jpg	C:/Users/Alexei%20Machkevitch/Desktop/clones/OR/66.media.tumblr.com/116d1b720dc3d6c3cbde3dec3e6d9343/32a43f64ec2399f5-06/s2048x3072/tumblr_116d1b720dc3d6c3cbde3dec3e6d9343_fb77e515_2048.jpg	(from https://oliverrice.net/)
